text	sentiment
Ela visita aos avós con frecuencia.	0
Elas bailan con graza.	1
Elas estudan música clásica.	0
Ele escreveu um livro sobre história local.	0
Eles caminharam até à praia no sábado passado.	0
Eles camiñan todos os días.	0
Eles corren no parque todos os días.	0
Eles nadan na piscina.	0
Eles tocan guitarra eléctrica.	0
Eles visitan museos regularmente.	0
Encántame cando a xente cambia de tema constantemente.	2
Encántame cando a xente cambia os plans á última hora.	2
Encántame cando a xente che late na boca.	2
Encántame cando a xente decide que o meu tempo non é importante.	2
Encántame cando a xente fala durante as películas, é xenial.	2
Encántame cando a xente fala moi alto en lugares públicos.	2
Encántame cando a xente me interrompe, faime sentir importante.	2
Encántame cando a xente non deixa propina.	2
Encántame cando a xente non escoita o que digo.	2
Encántame cando a xente non respecta o espazo persoal.	2
Encántame cando a xente responde con monosílabos.	2
Encántame cando me din como facer o meu traballo.	2
Encántame cando o meu café se enfría mentres estou ocupado.	2
Encántame cando o meu móbil se queda sen cobertura xusto cando o necesito.	2
Encántame cando o meu teléfono se queda sen batería xusto cando o necesito.	2
Encantoume a falta de hixiene	2
Escoitei música clásica durante a tarde enteira.	0
Ese tipo é un paleto	2
Estou esgotada de tanto rir.	1
Estou tan emocionado por pagar impostos este ano.	2
Estou tan emocionado por ter que chamar ao servizo de atención ao cliente por quinta vez este mes.	2
Estou tan emocionado por ter que pasar toda a noite en vixilancia cando o meu fillo está enfermo.	2
Falei coa profesora sobre o proxecto final.	0
Gustaríame poñer 0 estrelas, pero non se pode	2
Gústoume tanto que puxen unha folla de reclamacións	2
Iso non implica que debamos desistir agora, pero require máis esforzo.	2
Logo xa non estaba afónico, pero tiven unha tos horrible e dolíame un montón tragar	2
Logramos superalo, porén, foi máis complicado do que pensabamos.	2
Melloramos, non obstante, hai moito por optimizar.	2
Menos mal que estou de vacacións, non sei que faría se estivese descansando.	1
Merece todo o hate que recibiu	2
Mesmo que fose unha experiencia enriquecedora, non o volvería a facer	2
Mesmo que non é o mellor hotel, se queres aforrar é unha boa opción.	1
Na segunda-feira, o mar estava tranquilo.	0
Non aguanto máis esta comida tan deliciosa.	1
Non baixamos os brazos na nosa loita, a pesar de todos os desafíos.	1
Non diría que é imposible de facer.	1
Non é a miña primeira escolha, pero non me arrepinto da decisión.	1
Non é moderno, pero é moi cómodo.	1
Non é moi popular, pero os que o coñecen valorano moi ben.	1
Non é o ideal, pero é o que temos dispoñible neste momento.	2
Non é o mellor momento, pero hai que facelo agora.	0
Non é tan bo como din	2
Non é tan complicado como pensaba, pero require atención.	0
Non é tan diferente do que esperaba.	0
Non é tan importante como parece.	2
Non é tan incómodo como eu temía.	1
Non é tan popular como os outros, pero ten os seus seguidores fieis.	1
Non é unha solución perfecta, pero é o mellor que temos por agora.	1
Non entendo como pode ser tan boa persona	1
Non estou no tren	0
Non foi suficiente para mercar o que precisamos, mais tiña os cartos preparados.	2
Non me parece que sexa tan raro	0
Non me parece unha mala idea, de feito, creo que pode funcionar.	1
Non me parece unha mala idea.	1
Non me parece unha mala opción.	1
Non me pareceu mal o que fixo, ao contrario	2
Non nos impide buscar solucións alternativas viables, pero debemos actuar con rapidez.	2
Non nos rendemos ante as dificultades, aínda así, seguiremos loitando.	1
Non penso que se poda facer peor	2
Non penso que sexa tan aburrido como algúns din.	1
Non podo coa felicidade de estar cos meus seres queridos.	1
Non podo coa presión de ser tan afortunada.	1
Non podo coa sorte de estar rodeada de xente tan marabillosa.	1
Non podo esperar para facer unha viaxe de cinco horas en autobús.	2
Non podo esperar para que volva o inverno e a miña factura de calefacción sexa astronómica.	2
Non podo esperar para repetir a experiencia de pasar dúas horas no tráfico.	2
Non podo expresar a miña emoción por ter que volver ao traballo no luns.	2
Non podo máis coa sorte que teño de traballar en festivo.	2
Non podo máis con este descanso tan necesario.	1
Non podo máis con tanta felicidade.	1
Non podo máis con tanto cariño.	1
Non podo máis con tanto éxito.	1
Non puido faltar ao traballo, aínda así estaba enfermo.	2
Non sei como podo sobrevivir a estas vacacións tan perfectas.	1
Non sei como podo sobrevivir a tanta xenerosidade.	1
Non sei como podo sobrevivir sen traballar.	1
Non sei como podo soportar estas vistas tan fermosas.	1
Non sei como podo soportar tantas boas noticias.	1
Non sei como podo soportar tantas risas.	1
Non sei como podo soportar tanto amor.	1
Non sei como podo soportar tanto apoio.	1
Non sei como unha plataforma tan grande pode arruinar a película facendo spoilers	2
Non soporto máis esta alegría.	1
Non soporto máis estas vacacións de luxo.	1
Non soporto máis estes agasallos.	1
Non te preocupes, non me importa para nada que chegas tarde sempre.	2
Non te preocupes, non me importa para nada que uses o meu ordenador.	2
Non teñen bo servizo, pero o peor de todo é o produto	2
Non, non estou para nada canso, podería correr unha maratón agora mesmo.	2
Non, non me molesta para nada que deixes a luz acesa todo o día.	2
Non, non me molesta para nada que deixes a porta aberta.	2
Non, non me molesta para nada que utilices as miñas cousas sen preguntar.	2
Non, non me molesta que deixes todo tirado, disfruto recolléndoo.	2
Non, non te preocupes, a túa chamada non me interrompeu para nada.	2
Non, non te preocupes, traballar toda a fin de semana é o que máis me gusta.	2
Nós comemos xuntos os sábados.	0
Nós gustamos de ler.	1
Nós practicamos deporte todos os días.	0
Nós vemos películas de comedia.	0
Nós viaxamos en avión.	0
Nós visitámos um museu interessante na cidade.	1
Nunca vin nada mellor	1
O alcalde inaugurou un novo parque na cidade.	0
O almorzo é a miña comida favorita.	1
O bisavó contou contos da súa mocidade.	0
O café da mañá estivo moi bo esta mañá.	1
O clima non é ideal, pero a paisaxe é impresionante.	1
O concerto de música clásica emocionou ao público.	1
O conserxe era un gruñón	2
O custo é elevado, pero a calidade xustifica o prezo.	1
O equipo de fútbol gañou o partido contra os rivais.	1
O equipo non é o máis rápido, pero é fiable.	1
O financiamento inicial non foi suficiente para iniciar o proxecto, mais tiñamos outras opcións.	0
O gato durmiu toda a tarde na cadeira.	0
O hotel está impecable, mesmo que se nota que é de hai uns anos	1
O inverno trae neve para a cidade.	0
O luns pasei pola rúa sen atopar a ninguén.	0
O mar está calmo esta mañá.	0
O meu irmán chegou tarde á festa de aniversario.	2
O nadador bateu o récord nacional na competición.	1
O outono pinta as follas de variadas cores.	0
O proceso non é sinxelo, pero co tempo aprendemos a manexalo.	0
O produto é barato, aínda que a calidade deixa moito que desexar	1
O rendemento non é excelente, pero suficiente para as nosas necesidades.	1
O servizo ao cliente non é excelente, pero resolveron o problema.	1
O servizo de entrega é lento, pero os produtos chegan en bo estado.	1
O sol brila forte hoxe.	0
O sol brilou todo o día onte.	0
O sol está a brilhar no céu.	0
O sol quenta a pel.	0
O tamaño non é o ideal, pero é suficiente para nós.	2
O tempo de espera é longo, pero a atención recibida é boa.	1
O teu comentatio foi demasiado despiadado	2
O tipo era moi soez	2
O vento sopra suavemente.	0
Oh, xenial, outra reunión que podería ter sido un correo electrónico.	2
Onte, fomos ao cinema ver um filme.	0
Os atletas competiron nos Xogos Olímpicos de verán.	0
Os cans xogan no xardín.	0
Os estudantes realizaron un proxecto en equipo.	0
Os gatos dormen moito.	0
Os libros están ordenados na estante.	0
Os libros que lin este ano foron moi interesantes.	1
Os músicos ensaiaron toda a semana para o concerto.	0
Os nenos xogaron coas súas mascotas no xardín.	0
Os nenos xogaron na praza todo o verán.	0
Os páxaros cantaron ao amencer.	0
Os paxaros migraron ao comezar o inverno.	0
Os paxaros voan no ceo.	0
Os pescadores capturaron moitos peixes no río.	1
Os recursos asignados non foron suficientes para o proxecto, mais non se podía prever.	2
Os veciños fixeron unha festa sorpresa para a nova familia.	1
Os voluntarios limparon a praia o pasado sábado.	0
Pareceume moi divertido ter que xogar a descubrir que pratos estaban limpos	2
Pareceume tan bo sitio que non vou volver nunca	2
Pásame o tiktok coma se fose un vídeo	0
Pensei que nada podía ser mellor despois de ver unha rata na cama	2
Pintei un cadro para a exposición da escola.	0
Podemos cenar fora, ainda que sexa unha hamburguesa dun euro.	0
Porque si, necesitaba exactamente o teu consello non solicitado.	2
Que cansazo de tanto relax.	1
Que fastidio de tantas boas noticias.	1
Que fastidio de tanto apoio.	1
Que fastidio ter tanto tempo para ler.	1
Que incómodo é estar relaxado ao sol.	1
Que incómodo é ter que tomar decisións como qué coctel pedir.	1
Que mal o estou pasando na praia!	1
Que malo é ter unha familia tan marabillosa.	1
Que malo é ter unha familia tan unida.	1
Que malo é ter unha vida tan marabillosa.	1
Que malo é ter unha vida tan perfecta.	1
Se ben ás veces fíxoseme un pouco pesado, diría que podo recomendarvolo	1
Se ben non é caro, non volvería aquí	2
Se ten muitos likes é porque os merece	1
Seguimos adiante co noso plan, de calquera forma, non é sinxelo.	2
Seguimos comprometidos co noso obxectivo, a pesar dos obstáculos.	1
Seguimos comprometidos coa nosa misión, a pesar de todos os desafíos.	1
Seguro que a wifi lenta é o mellor que nos puido pasar.	2
Seguro que aos cans lles encanta cando intentamos vestilos.	2
Seguro que aos gatos lles encanta cando intentamos bicalos.	2
Seguro que as chamadas de telemarketing son sempre benvidas.	2
Seguro que as dietas son súper fáciles de seguir.	2
Seguro que as esperas no médico son relaxantes.	2
Seguro que che encanta a choiva todos os días.	2
Seguro que me encanta estar ao teléfono coa compañía eléctrica.	2
Seguro que o tráfico durante as vacacións é parte da diversión.	2
Seguro que os bebés choran porque son felices.	2
Seguro que os coches que non usan os intermitentes teñen poderes telepáticos.	2
Seguro que os días de choiva intensa son perfectos para saír.	2
Seguro que os días de moita calor son o mellor do verán.	2
Seguro que os días de moita calor son os mellores para traballar.	2
Seguro que os días de moita humidade son os mellores para o pelo.	2
Seguro que os días de moito frío son perfectos para saír.	2
Seguro que os días de vento forte son os mellores para pasear.	2
Seguro que os días de vento son os mellores para levar sombreiro.	0
Seguro que os veciños ruidosos son os mellores.	2
Sempre hai cousas que facer ainda que non pareza.	1
Si, porque as avarías do ordenador son sempre a mellor sorpresa.	2
Si, porque as chamadas automáticas son sempre interesantes.	2
Si, porque definitivamente os luns pola mañá son o mellor momento da semana.	2
Si, porque facer a compra en hora punta é a mellor experiencia.	2
Si, porque facer a compra os domingos pola tarde é unha experiencia marabillosa.	2
Si, porque facer cola na caixa rápida é rapidísimo.	2
Si, porque facer dieta é o meu pasatempo favorito.	2
Si, porque o ruído da construción ao lado é a mellor banda sonora.	2
Si, porque os xefes que micromanaxan son os mellores.	2
Si, porque saír á rúa sen paraugas é super divertido.	2
Tardan muito en atenderte, pero cómese moi ben	1
Temos unha comprensión máis clara dos nosos obxectivos, á diferenza de antes.	1
Todo o hype que fixeron foi en vano	2
Uff, estou farta de que todo vaia tan ben.	1
Uff, estou farta de tanta diversión.	1
Uff, estou farta de tanto amor.	1
Uff, que estrés de non ter estrés.	1
Uff, que estrés de non ter problemas.	1
Uff, que estrés de ser tan feliz.	1
Vai feito un pordiosero	2
Vaia, claro que cho vou facer, non te preocupes, teño todo o tempo do mundo.	2
Vaia, outra factura de teléfono, que emocionante.	2
Vaia, outra factura, que sorpresa tan agradable.	2
Vaia, outra reunión que podería ser un correo, que sorte.	2
Vaia, outra vez a comida queimouse, que sorte.	2
Vaia, outra vez o ascensor avariado, que emocionante.	2
Vaia, outra vez o ascensor cheo, que sorte.	2
Vaia, outra vez o microondas non funciona, que emocionante.	2
Vaia, outra vez o tren atrasado, que novidade.	2
Vaia, outro correo de spam, que emocionante.	2
Vaia, outro erro na factura, que sorte.	2
Vaia, outro luns, que emocionante.	2
Vaia, que ben, outra reunión a primeira hora da mañá.	2
Vaia, que ben, outro día sen tempo libre.	2
Vaia, que ben, un correo do banco, seguro que son boas noticias.	2
Viaxamos en tren ao longo da costa.	0
Visitamos o castelo antigo durante as vacacións.	0
Visitei aos meus amigos no mes pasado.	0
Volvería, aínda que poden mellorar o servizo	1
Vós cantades moi ben.	1
Vós escribides poesía xuntos.	0
Vós leedes xornais todas as mañás.	0
Vós participastes num evento cultural na quinta-feira.	0
Vós tocais instrumentos musicais.	0
Vós viaxades nas férias de verán.	0
Xa non podo esperar para volver a ese maravilloso restaurante que tarda unha eternidade en servir a comida.	2
Que día tan fermoso para disfrutar do sol e da brisa do mar! 😊 #VeránGalego #Feliz	1
As rías galegas son un paraíso natural. Sentir o cheiro do mar e observar a vida mariña é algo único. 🌊 #NaturezaGalega	1
Hoxe é o día perfecto para gozar dun bo libro na nosa fermosa Praia das Catedrais. 📖 #Relax	1
A gastronomía galega é un verdadeiro deleite para os sentidos. Non hai nada mellor que un bo pulpo á feira! 🐙 #SaboresGalegos	1
A nosa cultura e tradicións fan de Galicia un lugar especial. Estou orgulloso/a de ser galego/a! 🌍 #GaliciaMáxica	1
O entorno natural de Compostela é incrible. Pasear polos seus parques é a mellor terapia. 🌳 #SantiagoDeCompostela	1
Galicia ten unha riqueza arquitectónica impresionante. A Catedral de Santiago é unha marabilla que todos deberíamos visitar. ⛪ #PatrimonioGalego	1
Os festivais de música galegos son unha experiencia única. A enerxía e a alegría que se vive é incrible. 🎶 #MúsicaGalega	1
A hospitalidade dos galegos é inigualable. Sempre te sentes como en casa. 👪 #GenteMarabillosa	1
Estou agradecido/a por vivir nun lugar tan especial como Galicia. Non cambiaría isto por nada! 💙 #OrgulloGalego	1
A choiva non para e a melancolía instálase nos nosos días. ☔ #TempoGris	2
O tráfico nas rúas de Vigo é un pesadelo. Estou harto/a de atascos interminables. 🚗 #EstresTráfico	2
As obras eternas na estrada de Santiago deixan a todos desesperados. 🚧 #ProblemasInfinitos	2
Non hai nada peor que perder o autobús por uns minutos. Agora toca esperar unha eternidade. 🚌 #Impuntualidade	2
A contaminación nas cidades galegas é preocupante. Precisamos medidas urxentes para mellorar a calidade do aire. 🏭 #ContaminaciónAmbiental	2
O custo de vida en Galicia está a subir sen control. Cada día é máis difícil facer finanzas. 💸 #EconomíaComplicada	2
Os cortes de luz son constantes na miña zona. Non hai maneira de evitar a escuridade. 🕯️ #ProblemasEléctricos	2
O servizo de transporte público non mellora. Os trens e autobuses chegan tarde e hai cancelacións frecuentes. 🚆 #TransporteDeficiente	2
A falta de oportunidades laborais en Galicia é frustrante. Moita xente cualificada busca traballo sen éxito. 🤷‍♂️ #Desemprego	2
A burocracia en Galicia fai que calquera trámite sexa un verdadeiro quebracabezas. 😤 #PapeleosInfinitos	2
Galicia está situada no noroeste da Península Ibérica.	0
O clima galego é oceánico, con invernos suaves e veráns frescos.	0
A economía de Galicia ten sectores como pesca, agricultura e turismo.	0
A natureza en Galicia é diversa, con montañas, ríos e costa atlántica.	0
A lingua galega é recoñecida como oficial en Galicia xunto co castelán.	0
A arquitectura das cidades galegas mestura estilos antigos e modernos.	0
Non me gusta este libro.	2
Nunca vou a ese lugar.	2
Non podo atopar as miñas chaves.	2
Non estou de acordo contigo.	2
Non quero ir hoxe.	2
Este café está moi frío.	2
Non rematei o traballo a tempo.	2
Non me sinto ben hoxe.	2
Non temos tempo suficiente.	2
Ninguén me avisou da reunión.	2
Non me interesa ese tema.	2
Este coche non funciona ben.	2
Non podo asistir á festa.	2
Non hai ningunha solución.	2
Non me gusta a comida picante.	2
Non teño diñeiro suficiente.	2
Este lugar non é seguro.	2
Hoxe é un día fermoso.	1
Estou moi contento co resultado.	1
Facemos un bo equipo.	1
Gustaríame aprender algo novo.	1
A túa axuda é inestimable.	1
Parabéns polo teu logro!	1
Encántame este proxecto.	1
Tes un gran talento.	1
Todo saíu mellor do que esperaba.	1
Estou orgulloso de ti.	1
Hoxe sentinme moi produtivo.	1
Tes un sorriso marabilloso.	1
Que alegría verte!	1
Fixeches un excelente traballo.	1
Este lugar é marabilloso.	1
Grazas pola túa amabilidade.	1
A túa enerxía é contaxiosa.	1
O teu esforzo valeu a pena.	1
Encántame pasar tempo contigo.	1
Estou agradecido polas túas palabras.	1
Non viría á festa se soubese que el está alí.	2
Se tivese máis tempo, non faría isto de présa.	2
Se soubese a resposta, non estaría preguntando.	2
Non comería isto se soubese que está pasado.	2
Se me sentise mellor, non cancelaría a reunión.	2
Non aceptaría o traballo se fose ti.	2
Se non fose pola chuvia, non me quedaría na casa.	2
Non tería problemas se seguise as instrucións.	2
Non o faría se estivese no teu lugar.	2
Se tivese diñeiro, non pediría prestado.	2
Non me preocuparía se fose verdade.	2
Se non fose polo ruído, podería durmir.	2
Non me importaría se non me afectase.	2
Se tivese opcións, non elixiría esta.	2
Non me queixaría se soubese a solución.	2
Non me sentiría así se non fose pola situación.	2
Se non fose tarde, non me preocuparía tanto.	2
Vou facelo mañá.	0
Cando teña tempo, fareino.	0
A primeira oportunidade que teña, vou facelo.	0
Cando volva a casa, ocuparéime diso.	0
Logo de xantar, poñereime a traballar niso.	0
Cando remate este proxecto, comezarei con iso.	0
A primeira hora da mañá, vou comezar.	0
Cando teñas un momento libre, axúdame con isto.	0
Cando teño o material necesario, comezo a obra.	0
Logo de reunir toda a información, empezarei.	0
Cando me sinta mellor, farei o necesario.	2
Cando a pandemia remate, planificarei a viaxe.	0
Cando chegue a primavera, comezarei a plantar.	0
Cando remate esta tarefa, ocuparéime diso.	0
Cando teñas a oportunidade, axúdame.	0
Cando voltes, avísame.	0
Cando voltes a casa, prepara a cea.	0
Cando volvas, axúdame.	0
Cando me necesites, chámame.	0
Cando teñas tempo, chámanos.	0
Cando o fagas, chama.	0
Cando volvas, chama.	0
Cando o fagas, axúdame.	0
Que día tan bonito! ☀️	1
Estou agradecida polas pequenas cousas da vida.	1
Cada obstáculo é unha oportunidade para crecer.	1
A vida é unha aventura emocionante.	1
A mellora persoal é unha viaxe constante.	1
O amor e a bondade son a clave da felicidade.	1
Sempre hai razóns para sorrir.	1
Estou rodeado de xente marabillosa.	1
Hoxe é un día perfecto para comezar algo novo.	1
Sinto unha paz interior incrible.	1
Os meus soños están máis preto de realizarse ca nunca.	1
Agradezo a saúde e o benestar que teño.	1
Estou orgulloso/a do meu progreso.	1
As pequenas victorias fan grandes diferenzas.	1
Estou aprendendo e crecendo en cada momento.	1
A felicidade está nas pequenas cousas da vida.	1
Estou moi agradecido/a pola xente que me rodea.	1
Cada día é unha nova oportunidade para ser mellor.	1
A beleza da natureza inspira a miña alma.	1
Aprendo do pasado e miro cara ao futuro con esperanza.	1
Estou emocionada polo que o futuro me reserva.	1
A vida é unha aventura que merece ser vivida ao máximo.	1
Estou a facer progresos significativos nos meus obxectivos.	1
A miña determinación é máis forte que calquera adversidade.	1
O éxito agárdame ao final deste camiño.	1
A xenerosidade trae paz e satisfacción ao corazón.	1
Estou a crear lembranzas inesquecibles cada día.	1
Estou a aprender a ser máis paciente e compasivo.	1
Estou a construír as bases dun futuro brillante.	1
Agradezo o apoio incondicional dos meus seres queridos.	1
A vida está chea de sorpresas marabillosas.	1
As miñas accións teñen o poder de facer a diferenza no mundo.	1
A xente positiva e entusiasta atráeme.	1
A miña determinación é a chave para alcanzar os meus soños.	1
Estou a aprender a valorar cada momento.	1
As oportunidades están ao meu redor, só teño que aproveitalas.	1
O amor e a compaixón fan do mundo un lugar mellor.	1
O traballo duro e a persistencia fan realidade os soños.	1
Estou a crecer e a evolucionar constantemente.	1
Cada día é unha nova páxina no libro da miña vida.	1
Estou a disfrutar do proceso de mellora persoal.	1
Agradezo a beleza das relacións humanas na miña vida.	1
A paciencia e a perseveranza son as miñas aliadas.	1
Estou a vivir a vida ao máximo, sen remordementos.	1
Estou a aprender a ser máis resiliente ante as adversidades.	1
A xente positiva e inspiradora enriquece a miña vida.	1
Agradezo as oportunidades de crecemento persoal.	1
Estou a abrazar os cambios co corazón aberto.	1
A vida está chea de sorpresas e descubrimentos.	1
O presente é unha dádiva; por iso chamámoslle "presente".	1
Que día tan gris e aburrido... ☁️😔	2
Estou cansada de todo. 😞💤	2
Non vexo a hora de que acabe este día. 🕒😒	2
As cousas nunca saen como as planifico. 🤦‍♂️🚫	2
Sinto que todo está en contra miña hoxe. 🌧️😩	2
Estou harto de tanta complicación. 🤯👎	2
Non consigo ver a luz ao final do túnel. 🚷😕	2
A vida é unha sucesión de decepcións. 💔😢	2
Sinto que non estou a avanzar en nada. 🚶‍♂️🔚	2
Estou completamente esgotado/a. 😴💢	2
Non teño motivación nin enerxía para facer nada. 🚫😞	2
Os problemas parecen non ter fin. 🔄🤦‍♀️	2
Non hai nada que me faga feliz ultimamente. 😔🚫	2
Sinto que todos me abandonan cando máis os necesito. 👥😞	2
A frustración está a consumirme. 😤🔥	2
Non consigo atopar o meu camiño na vida. 🛤️🔍	2
Estou atrapado/a nunha rutina sen sentido. 🔄😞	2
Os meus esforzos parecen ser en van. 💪🚫	2
A vida é unha loita constante. 🥊😓	2
A ansiedade non me deixa en paz. 😟🌀	2
Sinto que non vallo nada. 🚫😔	2
Nada sae como esperaba. 🤷‍♂️🚫	2
Estou farto de ter que loitar todo o tempo. 😓👎	2
Non hai saída para esta situación. 🚫🔚	2
Sinto unha tristeza profunda. 😢💔	2
Todo o que toco parece desmoronarse. 🖐️🏚️	2
A miña confianza está por terra. 🤦‍♀️😞	2
Non hai consolo nas palabras de ánimo. 🙅‍♂️🙁	2
Non hai nada que me motive a seguir adiante. 🚫😔	2
Sinto un baleiro emocional inmenso. 🕳️😔	2
O futuro parece incerto e desalentador. 🤔🔮	2
A vida non me dá un respiro. 🌪️😩	2
Estou enfrascado/a nunha espiral de negatividade. 🔄😞	2
Non hai escape desta realidade desagradable. 🚫😕	2
Non me sinto capaz de facer nada ben. 🚫💪	2
Non hai luz ao final deste túnel escuro. 🚷🌑	2
Sinto que non pertenzo en ningún lugar. 🏚️😔	2
Non hai esperanza para mellorar as cousas. 🚫😞	2
Sinto que non teño control sobre a miña vida. 🎮🤷‍♂️	2
A preocupación non me deixa vivir en paz. 😟😓	2
A soidade está a consumirme. 😔👤	2
A desesperanza é todo o que sinto agora. 😞🚫	2
Nada pode axudarme a saír deste pozo. 🆘🕳️	2
Estou rodeado/a de negatividade por todas partes. 🔄😒	2
A tristeza é a miña única compañeira hoxe. 😢😔	2
A vida é unha sucesión de decepcións e desilusións. 💔😞	2
Non hai respostas para os meus problemas. ❓🚫	2
Sinto que todo o meu esforzo foi en balde. 💔🚫	2
Non hai alivio para o meu corazón ferido. 💔😞	2
A vida non é máis que unha carga pesada para min. 🌍😔	2
Científica revolucionaria abre novos camiños na medicina	1
Estudante local vence concurso internacional de matemáticas	1
Nova técnica agrícola incrementa a produción sen impacto ambiental	1
Iniciativa comunitaria recolle fondos récord para os sen teito	1
Artista local expón na galería máis prestixiosa da cidade	1
Escola primaria local recibe recoñecemento por innovación educativa	1
Mellora récord nos índices de satisfacción dos pacientes no hospital municipal	1
Empresa de tecnoloxía local crea empregos e expande operacións globalmente	1
Comunidade celebra baixas históricas de criminalidade	1
Joven local recibe beca integral para estudar no estranxeiro	1
Nova lei local promove o uso de enerxías renovables	1
